		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    3    6    2    6    5    3    3  4.399126 0.819438 SUCCESS   0
000000011    5    1    4    3    4    5    4    5  3.487215 0.900180 SUCCESS   1
000000101    4    7    4    2    8    8    1    4 15.274508 0.054023 SUCCESS   2
000000111    2    2    6    3    2    2    6    4  6.324271 0.610958 SUCCESS   3
000001001    5    1    7    5    1    3    5    6  9.634170 0.291647 SUCCESS   4
000001011    4    3    4    4    6    2    4    5  2.777951 0.947510 SUCCESS   5
000001101    5    2    1    1    2    5    2    2  8.587161 0.378309 SUCCESS   6
000001111    2    2    4    7    4    3    5    4  5.108390 0.745931 SUCCESS   7
000010001    2    2    5    9    4    4    5    4  9.836817 0.276667 SUCCESS   8
000010011    4    4    6    4    3    3    5    3  2.237559 0.972849 SUCCESS   9
000010101    4    6    7    5    5    5    4    4  5.209713 0.734945 SUCCESS  10
000010111    5    5    5    4    1    4    6    6  5.885203 0.660089 SUCCESS  11
000011001    3    7    2    4    3    1    1    7 11.018924 0.200629 SUCCESS  12
000011011    8    7    1    2    4    9    2    2 19.563867 0.012118 SUCCESS  13
000011101    1    4    8    3    4    5    3    4  7.641476 0.469251 SUCCESS  14
000011111    2    1    3    6    3    7    7    1 12.302354 0.138215 SUCCESS  15
000100011    4    6    6    8    6    3    4    1 10.951375 0.204470 SUCCESS  16
000100101    2    3    4    2    1    0    4    5  8.418289 0.393712 SUCCESS  17
000100111    3    2    4    4    4    6    3    2  3.453441 0.902773 SUCCESS  18
000101001    3    4    3    2    4    4    3    4  1.460746 0.993341 SUCCESS  19
000101011    3    5    6    4    6    5    7    5  6.662016 0.573498 SUCCESS  20
000101101    5    3    4    4    7    2    5    6  5.885203 0.660089 SUCCESS  21
000101111    2    7    8    5    3    4    6    5 10.613630 0.224567 SUCCESS  22
000110011    4    6    4    2    3    2    1    7  8.148093 0.419139 SUCCESS  23
000110101    2    3    1    1    4    3    0    5  9.836817 0.276667 SUCCESS  24
000110111    9    8    5    1    7    6    0    2 23.380383 0.002909 FAILURE  25
000111001    4    3    2    4    1    1    4    1  7.506378 0.483108 SUCCESS  26
