		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    3    6    6    2    5    6    4  5.513684 0.701523 SUCCESS   0
000000011    1    4    2    7    5    6    5    5  8.215642 0.412694 SUCCESS   1
000000101    3    4    3    8    4    6    6    5  8.080544 0.425642 SUCCESS   2
000000111    3    4    3    5    5    6    5    4  2.811725 0.945611 SUCCESS   3
000001001    4    3    5    8    2    2    2    0 11.897060 0.155856 SUCCESS   4
000001011    4    3    7    6    2    5    4    2  6.391820 0.603430 SUCCESS   5
000001101    3    5    3    5    6    4    5    1  4.939518 0.764021 SUCCESS   6
000001111    1    2    3    4    4    5    2    6  5.783880 0.671426 SUCCESS   7
000010001    5    4    2    2    2    3    6    4  4.534224 0.805999 SUCCESS   8
000010011    8    6    1    4    6    0    1    5 15.916223 0.043595 SUCCESS   9
000010101    3    1    2    4    5    3    3    5  4.331577 0.826037 SUCCESS  10
000010111    5    1    4    2    2    6    4    3  5.783880 0.671426 SUCCESS  11
000011001    4   10    2    4    4    1    2    4 14.295048 0.074392 SUCCESS  12
000011011    3    8    5    6    5    3    1    2 10.174562 0.252987 SUCCESS  13
000011101    3    2    5    5    3    3    5    3  2.744176 0.949372 SUCCESS  14
000011111    3    1    2    4    6    2    6    7  9.431523 0.307210 SUCCESS  15
000100011    5    3    3    2    4    1    6    6  6.358046 0.607193 SUCCESS  16
000100101    2    3    4    2    1    3    5    2  5.547458 0.697777 SUCCESS  17
000100111    4    7    0    2    0    3    5    2 12.944069 0.113789 SUCCESS  18
000101001    1    3    4    3    2    3    2    7  7.202408 0.514960 SUCCESS  19
000101011    4    1    5    6    2    3    3    4  5.074616 0.749572 SUCCESS  20
000101101    2    0    2    3    6    4    3    5  7.742799 0.458989 SUCCESS  21
000101111    6    3    4    2    3    5    5    4  3.318343 0.912822 SUCCESS  22
000110011    8    6    6    5    2    1    2    4 11.626865 0.168645 SUCCESS  23
000110101    3    2    2    3    9    6    6    3 12.167256 0.143896 SUCCESS  24
000110111    1    8    6    1    3    2    2    3 12.437452 0.132727 SUCCESS  25
000111001    3    3    3    3    4    3    4    2  1.798491 0.986579 SUCCESS  26
000111011    4    4    6    6    4    2    5    3  4.061381 0.851543 SUCCESS  27
000111101    1    5    5    1    2    4    2    1  8.958681 0.345794 SUCCESS  28
000111111    0    3    3    5    7    1    7   11 26.251214 0.000951 FAILURE  29
001000011    2    7    4    4    3    3    3    5  4.567998 0.802592 SUCCESS  30
001000101    5    3    3    4    6    7    1    3  7.101084 0.525767 SUCCESS  31
001000111    4    6    3    5    5    4    5    5  3.014372 0.933452 SUCCESS  32
001001011    2    5    7    2    0    3    5    0 13.315589 0.101443 SUCCESS  33
001001101    8    4    3    5    5    2    3    4  6.763340 0.562369 SUCCESS  34
001001111    2    9    0    0    4    5    2    6 18.584407 0.017247 SUCCESS  35
001010011    5    5    4    8    4    6    1    3  9.127553 0.331650 SUCCESS  36
001010101    2    3    3    2    7    9    5    8 17.267203 0.027444 SUCCESS  37
001010111    4    3    2    7    1    4    0    4  9.904366 0.271802 SUCCESS  38
001011011    1    1    5    5    6    6    4    5  8.012995 0.432202 SUCCESS  39
001011101    5    3    6    3    4    6    3    3  3.689862 0.883966 SUCCESS  40
001011111    3    6    2    3    4    4    7    0  9.228877 0.323358 SUCCESS  41
001100101    5    2    3    4    3    2    5    2  3.791185 0.875455 SUCCESS  42
001100111   10    4    4    2    3    3    0    4 15.544704 0.049380 SUCCESS  43
001101011    8    1    6    4    8    5    4    3 13.484461 0.096232 SUCCESS  44
001101101    4    4    4    6    3    3    3    4  1.866040 0.984847 SUCCESS  45
001101111    4    6    5    4    4    6    3    4  3.183245 0.922337 SUCCESS  46
001110101    4    1    3    5    4    4    5    2  3.993832 0.857680 SUCCESS  47
001110111    5    2    7    2    4    3    5    3  5.648782 0.686506 SUCCESS  48
001111011    2    7    4    2    3    4    3    4  4.905743 0.767601 SUCCESS  49
001111101    2    3    0    5    4    6    4    6  7.979221 0.435503 SUCCESS  50
001111111    3    4    6    3    5    2    5    8  8.046770 0.428915 SUCCESS  51
010000011    2    3    3    3    6    2    5    2  4.871969 0.771169 SUCCESS  52
010000111    1    6    3    3    5    4    2   10 15.409606 0.051654 SUCCESS  53
010001011    6    4    2    2    6    7    5    4  7.506378 0.483108 SUCCESS  54
010001111    4    4    2    5    4    4    4    5  1.697168 0.988931 SUCCESS  55
010010011    2    3    5    0    7    4    4    5  8.519612 0.384425 SUCCESS  56
010010111    3    5    8    4    1    5    3    1 10.140787 0.255283 SUCCESS  57
010011011    6    2    3   10    2    4    3    5 14.159951 0.077690 SUCCESS  58
010011111    1    7    1    4    2    8    1    3 14.970538 0.059721 SUCCESS  59
010100011    7    5    1    2    4    1    6    1 11.728188 0.163750 SUCCESS  60
010100111    3    4    4    5    4    7    3    4  3.520989 0.897555 SUCCESS  61
010101011    3    3    3    2    4    6    2    7  6.358046 0.607193 SUCCESS  62
010101111    4    3    2    7    2    6    1    4  8.148093 0.419139 SUCCESS  63
010110011    4    2    3    4    1    4    0    2  8.046770 0.428915 SUCCESS  64
010110111    4    3    4    7    5    5    7    5  6.830888 0.554984 SUCCESS  65
