		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    4    4    1    8    3    2    2    4  8.857357 0.354472 SUCCESS   0
000000011    3    5    3    8    5    2    3    3  7.101084 0.525767 SUCCESS   1
000000101    4    3    4    4    2    6    0    5  6.695791 0.569782 SUCCESS   2
000000111    5    5    6    7    6    1    1    5 10.748728 0.216347 SUCCESS   3
000001001    3   10    5    4    1    1    5    8 20.306906 0.009235 FAILURE   4
000001011    4    8    4    6    4   11    3    7 22.941315 0.003440 FAILURE   5
000001101    2    1    2    2    5    2    4    2  6.965986 0.540307 SUCCESS   6
000001111    5    6    5    5    6    3    1    5  6.425595 0.599672 SUCCESS   7
000010001    2    3    4    2    4    2    3    1  5.175939 0.738617 SUCCESS   8
000010011    2    9    3    6    1    0    6    6 18.280437 0.019220 SUCCESS   9
000010101    4    2   10    7    3    1    6    4 17.604947 0.024391 SUCCESS  10
000010111    4    4    4    5    3    9    3    7 10.782503 0.214330 SUCCESS  11
000011001    1    3    4    2    5    2    5    2  5.750105 0.675201 SUCCESS  12
000011011    3    2    1    2    5    6    5    1  8.283191 0.406308 SUCCESS  13
000011101    2    6    4    2    3    2    6    4  5.446135 0.709000 SUCCESS  14
000011111    4    5    1    5    6    4    1    5  6.729565 0.566072 SUCCESS  15
000100011    3    2    5    2    3    1    2    1  7.675250 0.465818 SUCCESS  16
000100101    4    7    4    1    2    4    3    5  6.358046 0.607193 SUCCESS  17
000100111    0    6    0    4    2    1    2    3 13.248040 0.103596 SUCCESS  18
000101001    4    3    3    3    4    4    3    2  1.629619 0.990341 SUCCESS  19
000101011    2    5    6    6    3    1    7    3  9.093779 0.334447 SUCCESS  20
000101101    5    4    2    6    5    8    4    6  8.992455 0.342933 SUCCESS  21
000101111    4    5    4    6    3    7    5    8  9.735494 0.284084 SUCCESS  22
000110011    6    3    3    2    6    1    8    3 10.883826 0.208369 SUCCESS  23
000110101    5    1    6    3    2    3    2    1  8.080544 0.425642 SUCCESS  24
000110111    2    1    3    1    3    3    6    4  6.999761 0.536658 SUCCESS  25
000111001    5    6    7    5    6    3    5    5  7.033535 0.533019 SUCCESS  26
000111011    4    1    4    2    3    1    5    6  7.033535 0.533019 SUCCESS  27
000111101    5    3    3    3    5    5    1    5  4.196479 0.838975 SUCCESS  28
000111111    4    6    1    4    5    3    0    6  9.228877 0.323358 SUCCESS  29
001000011    3    3    2    2    1    2    5    1  7.675250 0.465818 SUCCESS  30
001000101    4    6    1    4    6    3    4    3  5.108390 0.745931 SUCCESS  31
001000111    2    2    5    1    4    2    6    5  6.864663 0.551303 SUCCESS  32
001001011    3    6    4    1    4    2    7    3  7.438829 0.490109 SUCCESS  33
001001101    2    6    5    8    4    4    5    2  8.587161 0.378309 SUCCESS  34
