		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    2    1    4    3    3    4    6    4  4.703096 0.788787 SUCCESS   0
000000011    2    2    1   10    3    3    6    2 16.794360 0.032323 SUCCESS   1
000000101    3    3    2    3    2    4    6    1  5.750105 0.675201 SUCCESS   2
000000111    2    3    2    8    5    4    3    2  8.148093 0.419139 SUCCESS   3
000001001    2    5    6    1    5    3    2    6  7.438829 0.490109 SUCCESS   4
000001011    3    2    2    4    2    3    4    1  5.175939 0.738617 SUCCESS   5
000001101    4    4    1    5    6    3    4    8  8.756034 0.363293 SUCCESS   6
000001111    6    3    7    9    5    5    5    5 13.011618 0.111450 SUCCESS   7
000010001    2    4    4    3    7    9    2    1 14.126176 0.078535 SUCCESS   8
000010011    2    5    7    4    3    2    3    8 10.005690 0.264627 SUCCESS   9
000010101    4    7    5    1    3    5    3    2  6.898437 0.547629 SUCCESS  10
000010111    6    3    1    3    6    2    5    8 11.086473 0.196848 SUCCESS  11
000011001    3    5    3    2    3    1    5    5  4.703096 0.788787 SUCCESS  12
000011011    4    3    1    3    6    1    2    3  6.999761 0.536658 SUCCESS  13
000011101    2    4    3    4    2    2    2    6  5.040841 0.753202 SUCCESS  14
000011111    3    3    3    5    4    4    6    3  2.406432 0.965951 SUCCESS  15
000100011    3    3    5    5    5    4    2    1  4.534224 0.805999 SUCCESS  16
000100101    3    6    4    5    4    7    4    5  5.007067 0.756821 SUCCESS  17
000100111    5    2    5    3    4    3    4    2  2.913049 0.939695 SUCCESS  18
000101001    4    3    3    2    3    6    4    2  3.622313 0.889492 SUCCESS  19
000101011    2    7    2    1    3    5    5    4  7.607702 0.472697 SUCCESS  20
000101101    4    4    6    5    3    3    6    4  3.352117 0.910359 SUCCESS  21
000101111    5    3    2    1    6    5    6    6  7.844123 0.448843 SUCCESS  22
000110011    5    4    2    4    3    3    6    5  3.318343 0.912822 SUCCESS  23
000110101    3    4    5    3    2    3    4    7  4.567998 0.802592 SUCCESS  24
000110111    5    2    2    6    3    2    1    2  7.540153 0.479626 SUCCESS  25
000111001    3    4    3    3    5    4    1    3  3.250794 0.917647 SUCCESS  26
