		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    7    2    4    4    3    5    1    7  9.093779 0.334447 SUCCESS   0
000000011    8    4    3    6    1    3    5    3  9.093779 0.334447 SUCCESS   1
000000101    4    2    6    5    7    4    0    6 10.546081 0.228768 SUCCESS   2
000000111    4    5    7    6    3    0    7    3 11.457992 0.177074 SUCCESS   3
000001001    4    5    0    4    3    2    0    7 12.065933 0.148286 SUCCESS   4
000001011    4    4    5    4    6    5    2    5  3.352117 0.910359 SUCCESS   5
000001101    6    5    3    4    6    3    4    8  8.080544 0.425642 SUCCESS   6
000001111    6    4    4    5    3    5    5    1  4.770645 0.781785 SUCCESS   7
000010001    3    6    5    4    4    7    5    2  5.885203 0.660089 SUCCESS   8
000010011    7    5    1    3    4    7    2    4  9.093779 0.334447 SUCCESS   9
000010101    0    3    5    5    6    5    4    4  6.560693 0.584684 SUCCESS  10
000010111    8    6    7    2    7    8    4    8 21.894306 0.005115 FAILURE  11
000011001    5    3    5    5    1    5    4    1  5.986526 0.648741 SUCCESS  12
000011011    5    2    1    3    4    5    1    6  7.405055 0.493626 SUCCESS  13
000011101    3    4    8    1    7    2    5    3 11.255345 0.187646 SUCCESS  14
000011111    4    4    5    8    4    9    6    1 15.848675 0.044598 SUCCESS  15
000100011    3    5    7    4    5    6    2    2  6.763340 0.562369 SUCCESS  16
000100101    2    4    5    7    6    4    0    7 11.998384 0.151276 SUCCESS  17
000100111    5    6    4    4    4    6    2    7  6.628242 0.577221 SUCCESS  18
000101001    1    3    2    5    5    4    4    3  4.162705 0.842153 SUCCESS  19
000101011    1    3    5    5    7    8    3    2 11.626865 0.168645 SUCCESS  20
000101101    2    4    7    4    2    1    3    2  7.742799 0.458989 SUCCESS  21
000101111    5    8    7    0    5    8    2    7 20.543327 0.008465 FAILURE  22
000110011    3    3    5    2    3    4    7    1  6.695791 0.569782 SUCCESS  23
000110101    2    5    2    2    4    4    6    2  5.243488 0.731263 SUCCESS  24
000110111    2    5    3    6    3    4    2    8  8.553387 0.381359 SUCCESS  25
000111001    6    3    6    4    5    1    6    4  6.594467 0.580949 SUCCESS  26
000111011    3    4    6    2    6    4    5    2  4.939518 0.764021 SUCCESS  27
000111101    3    3    1    3    4    5    8    1  9.938141 0.269395 SUCCESS  28
000111111    2    5    4    4    3    7    2    1  7.236182 0.511378 SUCCESS  29
001000011    5    3    3    5    7    4    7    4  6.628242 0.577221 SUCCESS  30
001000101    4    6    4    3    1    6    5    5  5.682556 0.682741 SUCCESS  31
001000111    3    4    6    0    2    1    1    1 12.707648 0.122312 SUCCESS  32
001001011    1    3    6    7    2    2    4    8 12.876520 0.116169 SUCCESS  33
001001101    4    2    6    4    2    3    2    5  4.534224 0.805999 SUCCESS  34
001001111    4    3    1    4    6    4    4    5  4.027607 0.854624 SUCCESS  35
001010011    3    5    2    5    6    1    5    1  7.776574 0.455594 SUCCESS  36
001010101    3    8    6    2    3    5    2    7 11.289120 0.185849 SUCCESS  37
001010111    3    3    2    5    6    9    0    2 15.004313 0.059062 SUCCESS  38
001011011    3    2   10    8    1    2    1    0 25.237980 0.001417 FAILURE  39
001011101    2    5    6    2    3    4    5    4  4.027607 0.854624 SUCCESS  40
001011111    6    6    5    3    2    5    5   11 18.753280 0.016236 SUCCESS  41
001100101    4    1    4    6    5    2    1    3  7.033535 0.533019 SUCCESS  42
001100111    3    0    8    3    2    2    4    3 10.985149 0.202542 SUCCESS  43
001101011    6    4    4    2    2    5    5    3  4.027607 0.854624 SUCCESS  44
001101101    8    4    2    3    4    2    2    3  7.776574 0.455594 SUCCESS  45
001101111    0    2    2    6    4    3    1    4  9.330200 0.315211 SUCCESS  46
001110101    1    7    2    1    3    3    4    5  8.654710 0.372256 SUCCESS  47
001110111    2    5    6    3    5    3    5    4  3.689862 0.883966 SUCCESS  48
001111011    4    0    6    0    2    2    6    2 13.112942 0.108022 SUCCESS  49
001111101    6    0    5    6    6    3    4    3  8.553387 0.381359 SUCCESS  50
