		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 3.812500	M = 1960	N = 8	m = 9	n = 15680
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    3    6    4    2    2    4    6  4.736871 0.785294 SUCCESS   0
000000011    5    4    5    5    5    2    5    5  3.183245 0.922337 SUCCESS   1
000000101    3    5    1    3    1    0    1    2 11.964609 0.152790 SUCCESS   2
000000111    5    5    3    5    5    3    5    6  3.554764 0.894898 SUCCESS   3
000001001    5    5    9    2    3    1    3    7 14.159951 0.077690 SUCCESS   4
000001011    5    6    1    4    2    3    4    3  5.074616 0.749572 SUCCESS   5
000001101    7    1    6    5    5    6    4    3  8.418289 0.393712 SUCCESS   6
000001111    6    6    4    2    6    5    2    4  6.054075 0.641175 SUCCESS   7
000010001    3    5    4    3    3    2    5    5  2.575304 0.958127 SUCCESS   8
000010011    6    4    8    1    1    4    4    3 10.512307 0.230892 SUCCESS   9
000010101    4    0    5    4    2    4    3    1  7.540153 0.479626 SUCCESS  10
000010111    3    4    1    7    3    4    1    4  7.405055 0.493626 SUCCESS  11
000011001    1    5    2    5    5    6    4    7  8.215642 0.412694 SUCCESS  12
000011011    5    3    1    2    8    9    3    2 16.659262 0.033859 SUCCESS  13
000011101    2    3    4    6    5    3    8    7 10.410983 0.237356 SUCCESS  14
000011111    4    7    2    1    4    6    3    2  8.148093 0.419139 SUCCESS  15
000100011    1    4    7    2    2    1    6    3 10.275885 0.246194 SUCCESS  16
000100101    3    4    3    1    4    6    4    3  3.993832 0.857680 SUCCESS  17
000100111    6    5    8    1    3    2    2    3 10.681179 0.220426 SUCCESS  18
000101001    6    4    3    2    2    4    5    4  3.656087 0.886744 SUCCESS  19
000101011    4    1    3    4    3    7    0    2 10.073239 0.259923 SUCCESS  20
000101101    5    5    3    2    4    7    5    2  5.851429 0.663870 SUCCESS  21
000101111    2    2    4    3    4    3    2    2  3.926283 0.863712 SUCCESS  22
000110011    2    8    7    9    4    6    7    2 20.577102 0.008360 FAILURE  23
000110101    4    3    8    3    6    2    7    7 12.775197 0.119822 SUCCESS  24
000110111    3    4    6    3    5    7    0    4  8.722259 0.366265 SUCCESS  25
000111001    6    6    5    5    1    6    7    4  9.532847 0.299355 SUCCESS  26
000111011    1    2    3    5    7    6    4    5  8.012995 0.432202 SUCCESS  27
000111101    2    4    5    5    4    2    6    6  5.142165 0.742279 SUCCESS  28
000111111    4    5    1    4    5    3    3    1  5.412360 0.712729 SUCCESS  29
001000011    2    4    1    3    4    6    4    3  4.703096 0.788787 SUCCESS  30
001000101    2    2    3    4    3    4    3    2  3.217019 0.920009 SUCCESS  31
001000111    2    4    6    3    5    4    6    4  4.061381 0.851543 SUCCESS  32
001001011    4    3    4    3    5    5    5    4  1.528295 0.992228 SUCCESS  33
001001101    4    5    5    3    2    2    1   10 15.206959 0.055244 SUCCESS  34
001001111    6    3    7    3    4    3    2    2  6.358046 0.607193 SUCCESS  35
001010011    5    6    5    4    4    3    8    2  7.877897 0.445488 SUCCESS  36
001010101    2    1    1    6    5    3    3    6  8.485838 0.387505 SUCCESS  37
001010111    3    1    4    3    4   10    1    2 15.882449 0.044094 SUCCESS  38
001011011    2    7    1    4    2    4    5    3  7.236182 0.511378 SUCCESS  39
001011101    6    4    4    6    3    5    7    5  6.290497 0.614727 SUCCESS  40
001011111    2    2    6    3    5    1    1    2  8.789808 0.360337 SUCCESS  41
001100101    0    1    3    3    3    3    6    3  8.249417 0.409494 SUCCESS  42
001100111    1    4    4    9    5    6    3    1 13.416912 0.098287 SUCCESS  43
001101011    2    5    3    5    5    1    4    6  5.648782 0.686506 SUCCESS  44
001101101    2    3    4    4    4    4    4    3  1.291874 0.995649 SUCCESS  45
001101111    3    5    6    0    5    8    2    6 13.079167 0.109155 SUCCESS  46
001110101    0    4    1    4    3    3    7    5  9.566621 0.296769 SUCCESS  47
001110111    4    1    4    6    5    5    3    2  5.277262 0.727572 SUCCESS  48
001111011    3    2    4    4    4    4    5    8  6.222948 0.622274 SUCCESS  49
001111101    5    9    4    0    6    6    3    3 14.531470 0.068922 SUCCESS  50
